Crop,temperature,Soil_Moisture,Area_in_hectares,Production_in_tons,Crop_Type,N,P,K,pH,rainfall,Yield_ton_per_hec
ragi,29.56666667,54,278.0,620.0,kharif,50,40,20,5.34,297.66,2.230215827
sesamum,29.56666667,54,1481.0,760.0,kharif,30,15,30,6.54,297.66,0.513166779
cotton,29.56666667,54,4415.0,4820.0,kharif,120,40,20,5.5,297.66,1.091732729
jowar,29.56666667,54,1672.0,1320.0,kharif,80,40,40,5.38,297.66,0.789473684
moong,29.56666667,54,88.0,40.0,kharif,20,40,20,5.56,297.66,0.454545455
ragi,29.56666667,54,1023.0,1830.0,kharif,50,40,20,5.54,297.66,1.788856305
sesamum,29.56666667,54,2254.0,940.0,kharif,30,15,30,6.42,297.66,0.41703638
sunflower,29.56666667,54,27.0,40.0,kharif,50,60,30,5.66,297.66,1.481481481
moong,29.56666667,54,11814.0,8970.0,kharif,20,40,20,5.52,297.66,0.759268664
sesamum,29.56666667,54,9626.0,9050.0,kharif,30,15,30,6.66,297.66,0.940162061
sunflower,29.56666667,54,143.0,200.0,kharif,50,60,30,5.32,297.66,1.398601399
cotton,29.56666667,54,214.0,350.0,kharif,120,40,20,5.66,297.66,1.635514019
jowar,29.56666667,54,158.0,150.0,kharif,80,40,40,5.5,297.66,0.949367089
moong,29.56666667,54,92.0,40.0,kharif,20,40,20,5.52,297.66,0.434782609
ragi,29.56666667,54,218.0,420.0,kharif,50,40,20,5.64,297.66,1.926605505
sesamum,29.56666667,54,307.0,130.0,kharif,30,15,30,6.64,297.66,0.423452769
cotton,29.56666667,54,1244.0,2530.0,kharif,120,40,20,5.48,297.66,2.033762058
moong,29.56666667,54,6176.0,820.0,kharif,20,40,20,5.66,297.66,0.132772021
ragi,29.56666667,54,3.0,10.0,kharif,50,40,20,5.32,297.66,3.333333333
sesamum,29.56666667,54,4833.0,1590.0,kharif,30,15,30,6.42,297.66,0.328988206
ragi,29.56666667,54,39.0,60.0,kharif,50,40,20,5.5,297.66,1.538461538
rice,29.56666667,54,2154.0,8440.0,kharif,80,40,40,5.36,297.66,3.918291551
cotton,29.56666667,54,5438.0,7930.0,kharif,120,40,20,5.68,297.66,1.458256712
moong,29.56666667,54,176.0,70.0,kharif,20,40,20,5.32,297.66,0.397727273
ragi,29.56666667,54,174.0,430.0,kharif,50,40,20,5.64,297.66,2.471264368
sesamum,29.56666667,54,832.0,270.0,kharif,30,15,30,6.68,297.66,0.324519231
sunflower,29.56666667,54,186.0,240.0,kharif,50,60,30,5.68,297.66,1.290322581
cotton,29.56666667,54,2.0,1.0,kharif,120,40,20,5.48,297.66,0.5
jowar,29.56666667,54,78.0,130.0,kharif,80,40,40,5.38,297.66,1.666666667
moong,29.56666667,54,6967.0,3660.0,kharif,20,40,20,5.52,297.66,0.525333716
ragi,29.56666667,54,552.0,1250.0,kharif,50,40,20,5.6,297.66,2.264492754
sesamum,29.56666667,54,1277.0,750.0,kharif,30,15,30,6.6,297.66,0.587314017
cotton,29.56666667,54,2732.0,5550.0,kharif,120,40,20,5.64,297.66,2.03147877
ragi,29.56666667,54,1.0,1.0,kharif,50,40,20,5.44,297.66,1.0
sesamum,29.56666667,54,3439.0,1790.0,kharif,30,15,30,6.5,297.66,0.520500145
moong,29.56666667,54,694.0,290.0,kharif,20,40,20,5.44,297.66,0.417867435
ragi,29.56666667,54,140.0,250.0,kharif,50,40,20,5.44,297.66,1.785714286
sesamum,29.56666667,54,839.0,630.0,kharif,30,15,30,6.6,297.66,0.750893921
sunflower,29.56666667,54,1882.0,3990.0,kharif,50,60,30,5.4,297.66,2.120085016
cotton,29.56666667,54,6716.0,10020.0,kharif,120,40,20,5.32,297.66,1.4919595
jowar,29.56666667,54,1845.0,2680.0,kharif,80,40,40,5.46,297.66,1.452574526
moong,29.56666667,54,4186.0,1610.0,kharif,20,40,20,5.44,297.66,0.384615385
ragi,29.56666667,54,626.0,1910.0,kharif,50,40,20,5.44,297.66,3.051118211
sesamum,29.56666667,54,1416.0,590.0,kharif,30,15,30,6.54,297.66,0.416666667
sunflower,29.56666667,54,83.0,110.0,kharif,50,60,30,5.4,297.66,1.325301205
cotton,29.56666667,54,2782.0,2830.0,kharif,120,40,20,5.54,297.66,1.017253774
